Rxn,Flux
UAMAGS,0.00814825
UAMAS,0.00814825
UAPGR,0.00814825
UDCPDP,0.00814825
UDCPDPS,4.7156455277e-05
UGMDDS,0.00814825
UMPK,0.126149285259375
VALTA,-0.108811913334783
VALTRS,0.108811913334783
HPN1,0.017956006369181
HPN2,0.017956006369181
HPN3,0.017956006369181
MECDPDH5_fdx,0.170644616942288
IPDPS_fdx,0.07347385598734
DMPPS_fdx,0.097170760954948
ASNTRS,0.054622251764629
GLNTRS,0.04394388950805
PCS,0.00210999952275
SADT2,0.045770621502316
PAPSR,0.045770621502316
FADRx2,0.000689765233307
SULRi,0.045770621502316
IPPMIa,-0.12214442513154
IPPMIb,-0.12214442513154
ADCS,0.000763625429502
PEPTIDOr_ZM,0.00814825
ANS,0.011986168167954
S4FE4SR,0.000222516547606
S2FE2ST,2.221559049e-05
S4FE4ST,0.000222516547606
RNDR1b,0.007669932099206
RNDR3b,0.014289553559889
RNDR2b,0.006619616074656
SUCOAS,0.095202810295128
ACCOAC,0.260395154856972
TRPS1,0.011986168167954
ATPS4rpp,-0.519635926140734
ACLS,0.230956338466323
PIuabcpp,0.276359447184879
SCYSDS,0.000934497371403
S2FE2SS,0.000244732138096
S2FE2SS2,0.000222516547606
TRDR,0.045770621502316
GLUSy,2.381498175326051
ACHBS,0.086922898142055
MCOATA,0.260395154856972
PDX5PS,0.000190899733203
GLYTRS,0.116389344642554
